Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,SPA,Game Score,Team Indicator,Play,Period
02:40,,16,,21 (+5),"GOOD LAYUP by TRISKO,NICK(in the paint)",SPA 16-21 (-5),,"GOOD LAYUP by TRISKO,NICK(in the paint)",1
--,,,,,"ASSIST  by TURNER,JAMES",,,"ASSIST  by TURNER,JAMES",1
02:25,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
02:00,,,,,"MISS JUMPER by TURNER,JAMES",,,"MISS JUMPER by TURNER,JAMES",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:53,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
01:49,,,,,"MISS LAYUP by JEANNELAS,MATT",,,"MISS LAYUP by JEANNELAS,MATT",1
01:49,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by TRISKO,NICK",,,"REBOUND OFF by TRISKO,NICK",1
01:44,,,,,"MISS LAYUP by TRISKO,NICK",,,"MISS LAYUP by TRISKO,NICK",1
01:44,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by GOEING,BRANDON",,,"REBOUND OFF by GOEING,BRANDON",1
01:34,,16,,23 (+7),"GOOD LAYUP by GOEING,BRANDON(in the paint)",SPA 16-23 (-7),,"GOOD LAYUP by GOEING,BRANDON(in the paint)",1
01:24,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
01:23,,,,,"STEAL  by GOEING,BRANDON",,,"STEAL  by GOEING,BRANDON",1
01:06,,,,,"MISS 3PTR by GOEING,BRANDON",,,"MISS 3PTR by GOEING,BRANDON",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
00:52,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
00:50,,,,,"STEAL  by TRISKO,NICK",,,"STEAL  by TRISKO,NICK",1
00:48,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
00:48,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
00:48,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
00:48,,,,,"SUB IN by JEANNELAS,MATT",,,"SUB IN by JEANNELAS,MATT",1
00:48,,,,,"SUB IN by ROWE,RYLAN",,,"SUB IN by ROWE,RYLAN",1
00:48,,,,,"SUB IN by COSBY,VICTOR",,,"SUB IN by COSBY,VICTOR",1
00:48,,,,,"SUB IN by GOEING,BRANDON",,,"SUB IN by GOEING,BRANDON",1
00:48,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
00:48,,,,,"SUB OUT by TRISKO,NICK",,,"SUB OUT by TRISKO,NICK",1
00:48,,,,,"SUB OUT by ROWE,RYLAN",,,"SUB OUT by ROWE,RYLAN",1
00:48,,,,,"SUB OUT by JEANNELAS,MATT",,,"SUB OUT by JEANNELAS,MATT",1
00:48,,,,,"SUB OUT by GOEING,BRANDON",,,"SUB OUT by GOEING,BRANDON",1
00:44,,,,,"MISS JUMPER by ROWE,RYLAN",,,"MISS JUMPER by ROWE,RYLAN",1
