Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
01:35,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
01:35,,,,,"SUB IN by JONES,MYLES",,,"SUB IN by JONES,MYLES",1
01:35,,,,,"SUB IN by GERNATT,JONATHAN",,,"SUB IN by GERNATT,JONATHAN",1
01:35,,,,,"SUB OUT by FITZGERALD,JACKSON",,,"SUB OUT by FITZGERALD,JACKSON",1
01:35,,,,,"SUB OUT by PLATT,DAEVON",,,"SUB OUT by PLATT,DAEVON",1
01:12,,,,,"MISS LAYUP by PALMER,BRADY",,,"MISS LAYUP by PALMER,BRADY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:59,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",1
00:59,,24,,26 (+2),"GOOD FT by CRUMLY,WILL",CCM 24-26 (-2),,"GOOD FT by CRUMLY,WILL",1
00:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:59,,24,,27 (+3),"GOOD FT by CRUMLY,WILL",CCM 24-27 (-3),,"GOOD FT by CRUMLY,WILL",1
00:59,,,,,"SUB IN by FITZGERALD,JACKSON",,,"SUB IN by FITZGERALD,JACKSON",1
00:59,,,,,"SUB OUT by JONES,MYLES",,,"SUB OUT by JONES,MYLES",1
00:51,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by CRUMLY,WILL",,,"REBOUND DEF by CRUMLY,WILL",1
00:25,,24,,29 (+5),"GOOD JUMPER by PALMER,BRADY(in the paint)",CCM 24-29 (-5),,"GOOD JUMPER by PALMER,BRADY(in the paint)",1
00:04,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",1
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",1
00:01,"GOOD LAYUP by SMITH,RJ(in the paint)",26,,29 (+3),,CENTRE 26-29 (-3),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
00:01,,,,,"FOUL  by CRUMLY,WILL",,,"FOUL  by CRUMLY,WILL",1
00:01,"GOOD FT by SMITH,RJ",27,,29 (+2),,CENTRE 27-29 (-2),,"GOOD FT by SMITH,RJ",1
00:01,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
00:01,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
00:01,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
00:01,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
00:01,,,,,"SUB IN by MATHIS,WALKER",,,"SUB IN by MATHIS,WALKER",1
00:01,,,,,"SUB IN by PLATT,DAEVON",,,"SUB IN by PLATT,DAEVON",1
00:01,,,,,"SUB OUT by CRUMLY,WILL",,,"SUB OUT by CRUMLY,WILL",1
