Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,MUMB,Game Score,Team Indicator,Play,Period
17:51,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
17:51,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:51,,39 (+6),,33,"GOOD FT by WHITLEY,JACKSON",MUMB 39-33 (+6),,"GOOD FT by WHITLEY,JACKSON",2
17:51,,39 (+5),,34,"GOOD FT by WHITLEY,JACKSON",MUMB 39-34 (+5),,"GOOD FT by WHITLEY,JACKSON",2
17:51,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
17:51,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
17:38,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",2
17:36,,,,,"STEAL  by MONK,BRANDON",,,"STEAL  by MONK,BRANDON",2
17:26,,,,,"MISS 3PTR by HILLIARD,TABIAS",,,"MISS 3PTR by HILLIARD,TABIAS",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
17:17,,,,,"FOUL  by WHITLEY,JACKSON",,,"FOUL  by WHITLEY,JACKSON",2
17:17,"GOOD FT by WILLIAMS,JORDEN",40 (+6),,34,,SEWANE~1 40-34 (+6),,"GOOD FT by WILLIAMS,JORDEN",2
17:17,"GOOD FT by WILLIAMS,JORDEN",41 (+7),,34,,SEWANE~1 41-34 (+7),,"GOOD FT by WILLIAMS,JORDEN",2
17:17,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",2
17:17,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",2
17:02,,,,,"MISS DUNK by WHITLEY,JACKSON",,,"MISS DUNK by WHITLEY,JACKSON",2
17:02,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
17:00,,41 (+5),,36,"GOOD LAYUP by MONK,BRANDON(in the paint)",MUMB 41-36 (+5),,"GOOD LAYUP by MONK,BRANDON(in the paint)",2
--,,,,,"ASSIST  by HILLIARD,TABIAS",,,"ASSIST  by HILLIARD,TABIAS",2
16:44,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",2
16:29,,,,,"TURNOVER  by MONK,BRANDON",,,"TURNOVER  by MONK,BRANDON",2
16:28,"STEAL  by BORN,CLAY",,,,,,,"STEAL  by BORN,CLAY",2
16:23,"GOOD LAYUP by BROWN,SETH(fastbreak)(in the paint)",43 (+7),,36,,SEWANE~1 43-36 (+7),,"GOOD LAYUP by BROWN,SETH(fastbreak)(in the paint)",2
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",2
