Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
05:27,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
05:27,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
05:27,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
05:27,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
05:27,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
05:24,"GOOD JUMPER by COOK,JEREMIAH",13,,36 (+23),,RHODES 13-36 (+23),,"GOOD JUMPER by COOK,JEREMIAH",1
05:06,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",,,"MISS 3PTR by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
04:53,"MISS 3PTR by WILLIAMS,ZAVIEN",,,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
04:45,,,,,"MISS JUMPER by DEITHLOFF,TYLER",,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,"REBOUND DEF by COOK,JEREMIAH",,,,,,,"REBOUND DEF by COOK,JEREMIAH",1
04:38,"MISS JUMPER by COOK,JEREMIAH",,,,,,,"MISS JUMPER by COOK,JEREMIAH",1
--,"REBOUND OFF by CLAYTON,TJ",,,,,,,"REBOUND OFF by CLAYTON,TJ",1
04:34,"GOOD LAYUP by CLAYTON,TJ(in the paint)",15,,36 (+21),,RHODES 15-36 (+21),,"GOOD LAYUP by CLAYTON,TJ(in the paint)",1
04:10,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",1
04:10,,15,,37 (+22),"GOOD FT by ,DARVIS RASBERRY JR",HENDRIX 15-37 (+22),,"GOOD FT by ,DARVIS RASBERRY JR",1
04:10,,,,,"MISS FT by ,DARVIS RASBERRY JR",,,"MISS FT by ,DARVIS RASBERRY JR",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
03:57,"MISS JUMPER by CLAYTON,TJ",,,,,,,"MISS JUMPER by CLAYTON,TJ",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:57,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
03:57,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
03:57,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
03:57,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
03:51,"TURNOVER  by CLAYTON,TJ",,,,,,,"TURNOVER  by CLAYTON,TJ",1
03:51,,,,,"STEAL  by RYAN,JONATHAN",,,"STEAL  by RYAN,JONATHAN",1
03:51,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
03:51,,,,,"SUB OUT by ,DARVIS RASBERRY JR",,,"SUB OUT by ,DARVIS RASBERRY JR",1
03:24,,15,,39 (+24),"GOOD LAYUP by RYAN,JONATHAN(in the paint)",HENDRIX 15-39 (+24),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
03:10,"MISS 3PTR by CLAYTON,TJ",,,,,,,"MISS 3PTR by CLAYTON,TJ",1
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
03:04,"GOOD TIPIN by WILLIAMS,ZAVIEN(in the paint)",17,,39 (+22),,RHODES 17-39 (+22),,"GOOD TIPIN by WILLIAMS,ZAVIEN(in the paint)",1
02:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:59,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
02:59,"SUB OUT by CLAYTON,TJ",,,,,,,"SUB OUT by CLAYTON,TJ",1
02:43,,17,,42 (+25),"GOOD 3PTR by DEITHLOFF,TYLER",HENDRIX 17-42 (+25),,"GOOD 3PTR by DEITHLOFF,TYLER",1
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",1
02:33,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",1
02:33,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:33,"GOOD FT by ESSICK,JALEN",18,,42 (+24),,RHODES 18-42 (+24),,"GOOD FT by ESSICK,JALEN",1
02:33,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
02:33,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
02:33,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
02:33,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
02:23,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
02:22,"STEAL  by WALKER,JEFFERSON",,,,,,,"STEAL  by WALKER,JEFFERSON",1
02:12,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
02:12,"GOOD FT by ESSICK,JALEN",19,,42 (+23),,RHODES 19-42 (+23),,"GOOD FT by ESSICK,JALEN",1
02:12,"GOOD FT by ESSICK,JALEN",20,,42 (+22),,RHODES 20-42 (+22),,"GOOD FT by ESSICK,JALEN",1
02:12,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
02:12,,,,,"SUB IN by ,DARVIS RASBERRY JR",,,"SUB IN by ,DARVIS RASBERRY JR",1
02:12,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
02:12,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
01:59,,,,,"MISS JUMPER by PARKS,JACKSON",,,"MISS JUMPER by PARKS,JACKSON",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
01:52,"MISS JUMPER by ESSICK,JALEN",,,,,,,"MISS JUMPER by ESSICK,JALEN",1
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
01:35,"MISS LAYUP by ESSICK,JALEN",,,,,,,"MISS LAYUP by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by ,DARVIS RASBERRY JR",,,"REBOUND DEF by ,DARVIS RASBERRY JR",1
01:25,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",1
