Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",2
17:59,,,,,"MISS JUMPER by MARKWITH,TRENT",,,"MISS JUMPER by MARKWITH,TRENT",2
--,"REBOUND DEF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",2
17:53,"GOOD LAYUP by TARANTOLO,MITCHELL(fastbreak)(in the paint)",42 (+9),,33,,CENTMB 42-33 (-9),,"GOOD LAYUP by TARANTOLO,MITCHELL(fastbreak)(in the paint)",2
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",2
17:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:49,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
17:11,,42 (+7),,35,"GOOD JUMPER by BLANZ,BUCK",MMB 42-35 (-7),,"GOOD JUMPER by BLANZ,BUCK",2
--,,,,,"ASSIST  by MARKWITH,TRENT",,,"ASSIST  by MARKWITH,TRENT",2
16:59,"MISS JUMPER by TARANTOLO,MITCHELL",,,,,,,"MISS JUMPER by TARANTOLO,MITCHELL",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
16:49,"FOUL  by KIRKENDOLL,TRAVION",,,,,,,"FOUL  by KIRKENDOLL,TRAVION",2
16:49,"SUB IN by BOYD,KJ",,,,,,,"SUB IN by BOYD,KJ",2
16:49,"SUB OUT by MATTHEWS,TREYLAN",,,,,,,"SUB OUT by MATTHEWS,TREYLAN",2
16:49,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",2
