Time Remaining,HUNTINGM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
01:54,,40 (+9),,31,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 40-31 (-9),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
01:37,"MISS 3PTR by PETTY,RYAN",,,,,,,"MISS 3PTR by PETTY,RYAN",1
--,,,,,"REBOUND DEF by KASTNER,MURRAY",,,"REBOUND DEF by KASTNER,MURRAY",1
01:21,,,,,"MISS 3PTR by THOMAS,STERLING",,,"MISS 3PTR by THOMAS,STERLING",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
01:17,,40 (+6),,34,"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 40-34 (-6),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",1
00:59,"TURNOVER  by EDGAR,COURTNEE",,,,,,,"TURNOVER  by EDGAR,COURTNEE",1
00:58,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",1
00:45,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,"REBOUND DEF by HILL,AUSTIN",,,,,,,"REBOUND DEF by HILL,AUSTIN",1
00:36,"MISS 3PTR by EDGAR,COURTNEE",,,,,,,"MISS 3PTR by EDGAR,COURTNEE",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
00:13,"FOUL  by HILL,AUSTIN",,,,,,,"FOUL  by HILL,AUSTIN",1
00:13,,40 (+5),,35,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 40-35 (-5),,"GOOD FT by GILLIGAN,TULLY",1
00:13,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
