Time Remaining,AUR,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
03:28,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
03:28,"GOOD FT by KLADIS,NICK",30,,37 (+7),,AUR 30-37 (+7),,"GOOD FT by KLADIS,NICK",1
03:28,"GOOD FT by KLADIS,NICK",31,,37 (+6),,AUR 31-37 (+6),,"GOOD FT by KLADIS,NICK",1
03:19,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by LAGRONE,JORDAN",,,,,,,"REBOUND DEF by LAGRONE,JORDAN",1
03:13,"GOOD DUNK by STOKES,KALMON(in the paint)",33,,37 (+4),,AUR 33-37 (+4),,"GOOD DUNK by STOKES,KALMON(in the paint)",1
--,"ASSIST  by LAGRONE,JORDAN",,,,,,,"ASSIST  by LAGRONE,JORDAN",1
03:13,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
03:13,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
03:13,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
03:13,"GOOD FT by STOKES,KALMON",34,,37 (+3),,AUR 34-37 (+3),,"GOOD FT by STOKES,KALMON",1
03:03,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
03:02,"STEAL  by LAGRONE,JEREMY",,,,,,,"STEAL  by LAGRONE,JEREMY",1
02:58,"MISS 3PTR by LAGRONE,JORDAN",,,,,,,"MISS 3PTR by LAGRONE,JORDAN",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
02:43,,34,,39 (+5),"GOOD JUMPER by GEE,TYLER",RHO 34-39 (+5),,"GOOD JUMPER by GEE,TYLER",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
02:30,"MISS JUMPER by STOKES,KALMON",,,,,,,"MISS JUMPER by STOKES,KALMON",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
02:15,,34,,41 (+7),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 34-41 (+7),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
