Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
03:29,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
03:13,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
03:12,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",1
03:08,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
03:06,"STEAL  by OETJEN,NOAH",,,,,,,"STEAL  by OETJEN,NOAH",1
02:59,"GOOD LAYUP by ALLEN,ZACK(in the paint)",29 (+5),,24,,CCM 29-24 (-5),,"GOOD LAYUP by ALLEN,ZACK(in the paint)",1
02:46,,29 (+3),,26,"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC-M 29-26 (-3),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
02:46,"FOUL  by ALLEN,ZACK",,,,,,,"FOUL  by ALLEN,ZACK",1
02:46,,,,,"MISS FT by SPENCE,BEN",,,"MISS FT by SPENCE,BEN",1
--,"REBOUND DEF by CRUMLY,WILL",,,,,,,"REBOUND DEF by CRUMLY,WILL",1
02:46,"SUB IN by HOLLIS,MITCHELL",,,,,,,"SUB IN by HOLLIS,MITCHELL",1
02:46,"SUB OUT by OETJEN,NOAH",,,,,,,"SUB OUT by OETJEN,NOAH",1
02:46,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
02:46,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
02:19,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
02:19,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",1
02:05,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
02:03,"STEAL  by ALLEN,ZACK",,,,,,,"STEAL  by ALLEN,ZACK",1
01:56,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
01:55,"MISS FT by CRUMLY,WILL",,,,,,,"MISS FT by CRUMLY,WILL",1
01:55,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
01:55,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
01:47,,29 (+1),,28,"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC-M 29-28 (-1),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
01:28,"GOOD LAYUP by CRUMLY,WILL(in the paint)",31 (+3),,28,,CCM 31-28 (-3),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",1
01:09,,31 (+1),,30,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC-M 31-30 (-1),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
00:48,"GOOD JUMPER by BARNETTE,CHRIS",33 (+3),,30,,CCM 33-30 (-3),,"GOOD JUMPER by BARNETTE,CHRIS",1
00:39,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",,,"MISS JUMPER by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
00:30,,,,,"MISS 3PTR by GONDA,MATT",,,"MISS 3PTR by GONDA,MATT",1
--,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",,,"REBOUND OFF by O'SULLIVAN,CONOR",1
00:13,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",1
--,"REBOUND DEF by CRUMLY,WILL",,,,,,,"REBOUND DEF by CRUMLY,WILL",1
00:13,"SUB IN by JAUCH,JARED",,,,,,,"SUB IN by JAUCH,JARED",1
00:13,"SUB IN by OETJEN,NOAH",,,,,,,"SUB IN by OETJEN,NOAH",1
00:13,"SUB OUT by HOLLIS,MITCHELL",,,,,,,"SUB OUT by HOLLIS,MITCHELL",1
00:13,"SUB OUT by ALLEN,ZACK",,,,,,,"SUB OUT by ALLEN,ZACK",1
00:04,"GOOD LAYUP by BARNETTE,CHRIS(fastbreak)(in the paint)",35 (+5),,30,,CCM 35-30 (-5),,"GOOD LAYUP by BARNETTE,CHRIS(fastbreak)(in the paint)",1
--,"ASSIST  by CRUMLY,WILL",,,,,,,"ASSIST  by CRUMLY,WILL",1
19:45,"GOOD JUMPER by CRUMLY,WILL(in the paint)",37 (+7),,30,,CCM 37-30 (-7),,"GOOD JUMPER by CRUMLY,WILL(in the paint)",2
19:11,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
